Codi d'expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció causa vianant;Descripció tipus de vehicle;Descripció model;Descripció marca;Descripció color;Descripció carnet;Antiguitat carnet;Coordenada UTM (Y);Coordenada UTM (X)
2013S003024;2;Eixample;5;el Fort Pienc;89004;Consell de Cent;4 840 484;Divendres;Dv;Laboral;2013;4;Abril;26;12;No és causa del  vianant;Turismo;CORSA;OPEL;Verd;B;18;4583718,72;431388,08
2013S003025;2;Eixample;6;la Sagrada Família;191204;Mallorca;4 040 404;Divendres;Dv;Laboral;2013;4;Abril;26;9;No és causa del  vianant;Turismo;C 200;MERCEDES;Negre;B;6;4583996,88;431101,37
2013S003487;1;Ciutat Vella;3;la Barceloneta;150003;Grau i Torras;460 048;Diumenge;Dg;Laboral;2013;4;Abril;14;10;No és causa del  vianant;Turismo;TWIZY;RENAULT;Desconegut;B;12;4581281,15;432419,95
2013S003489;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;321605;Secretari Coloma;920 094;Dilluns;Dl;Laboral;2013;5;Maig;13;17;No és causa del  vianant;Turismo;PUNTO;FIAT;Blanc;B;9;4584858,99;430065,87
2013S003613;7;Horta-Guinardó;33;el Baix Guinardó;152905;Guinardó;400 040;Diumenge;Dg;Laboral;2013;5;Maig;19;20;No és causa del  vianant;Turismo;STREMM;HONDA;Gris;B;21;4585012,16;430416,32
2013S003616;2;Eixample;6;la Sagrada Família;144601;Diagonal;3 100 310;Diumenge;Dg;Laboral;2013;5;Maig;19;22;No és causa del  vianant;Turismo;Desconegut;Desconegut;Desconegut;Desconegut;Desconegut;4583797,6;431224,71
2013S003619;9;Sant Andreu;59;el Bon Pastor;179504;Lima;300 030;Dilluns;Dl;Laboral;2013;5;Maig;20;0;No és causa del  vianant;Turismo;325;BMW;Blanc;B;4;4588043,89;433863,52
2013S003620;8;Nou Barris;52;la Prosperitat;127205;Flor de Neu;690 069;Dilluns;Dl;Laboral;2013;5;Maig;20;4;No és causa del  vianant;Turismo;206;PEUGEOT;Negre;Desconegut;Desconegut;4588711,02;431825,39
2013S003756;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;7 310 731;Dissabte;Ds;Laboral;2013;5;Maig;25;12;No és causa del  vianant;Turismo;TOURAN;VOLKSWAGEN;Gris;B;50;4583538,8;431555,75
2013S003038;2;Eixample;7;la Dreta de l'Eixample;309406;Sant Pere;560 056;Divendres;Dv;Laboral;2013;4;Abril;26;17;No és causa del  vianant;Motocicleta;SH 125;HONDA;Negre;B;2;4582648,84;431334,82
2013S000077;9;Sant Andreu;63;Navas;152600;Guinardó;190 019;Divendres;Dv;Laboral;2013;1;Gener;4;18;No és causa del  vianant;Turismo;ASTRA;OPEL;Gris;B;11;4585521,49;431659,51
2013S000079;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;344101;Gràcia;850 085;Divendres;Dv;Laboral;2013;1;Gener;4;21;No és causa del  vianant;Motocicleta;RS 125;APRILIA;Negre;B;4;4583419,1;429148,63
2013S000080;10;Sant Martí;71;Provençals del Poblenou;94300;Cristóbal de Moura;0002X0002X;Dissabte;Ds;Laboral;2013;1;Gener;5;5;No és causa del  vianant;Turismo;CLK320;MERCEDES;Negre;B;20;4584492,99;433364,81
2013S000201;8;Nou Barris;44;Vilapicina i la Torre Llobeta;69109;Cartellà;20 002;Dimecres;Dc;Laboral;2013;1;Gener;9;21;No és causa del  vianant;Turismo;C1;CITROEN;Desconegut;B;11;4586694,43;431186,43
2013S004085;4;Les Corts;21;Pedralbes;333400;González Tablas;20 002;Dimecres;Dc;Laboral;2013;6;Juny;5;10;No és causa del  vianant;Turismo;118;BMW;Negre;B;17;4582079,74;425749,23
